polygon_id,zone_layer,source_band,zone_id,count,mean,sum,min,max,Scenario,percentage_of_sum,LST Zone
Global,lst_classification_twin_map.tif,Vivienda totales,4,143,0.017809588,2.546771,0.0,0.07321807,Base,0.3685009777545929,Zona núcleo
Global,lst_classification_intervention_map.tif,Vivienda totales,1,4449,0.024182241,107.58679,0.0,0.12189035,Intervención,15.567098617553711,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Vivienda totales,2,4188,0.072766595,304.7465,0.0,0.450841,Intervención,44.09480667114258,Zona de transición
Global,lst_classification_intervention_map.tif,Vivienda totales,3,4776,0.058318697,278.5301,0.0,0.61772543,Intervención,40.30146789550781,Zona de impacto
Global,lst_classification_intervention_map.tif,Vivienda totales,4,36,0.007030931,0.2531135,0.0,0.06327838,Intervención,0.03662385419011116,Zona núcleo
Global,lst_classification_twin_map.tif,Vivienda particulares habitadas,1,4305,0.021652227,93.21284,0.0,0.10854779,Base,13.575469970703125,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Vivienda particulares habitadas,2,3515,0.07325323,257.4851,0.0,0.59963316,Base,37.5,Zona de transición
Global,lst_classification_twin_map.tif,Vivienda particulares habitadas,3,5486,0.06077002,333.38434,0.0,0.59963316,Base,48.553924560546875,Zona de impacto
Global,lst_classification_twin_map.tif,Vivienda particulares habitadas,4,143,0.017794825,2.54466,0.0,0.07322736,Base,0.3706029951572418,Zona núcleo
Global,lst_classification_intervention_map.tif,Vivienda particulares habitadas,1,4449,0.023985934,106.71342,0.0,0.1194677,Intervención,15.541687965393066,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Vivienda particulares habitadas,2,4188,0.07250038,303.6316,0.0,0.43763652,Intervención,44.22075271606445,Zona de transición
Global,lst_classification_intervention_map.tif,Vivienda particulares habitadas,3,4776,0.05779548,276.03122,0.0,0.59963316,Intervención,40.201045989990234,Zona de impacto
Global,lst_classification_intervention_map.tif,Vivienda particulares habitadas,4,36,0.006964209,0.25071153,0.0,0.06267788,Intervención,0.03651349991559982,Zona núcleo
Global,lst_classification_twin_map.tif,Vivienda particulares habitadas sin electricidad,1,4305,0.0,0.0,0.0,0.0,Base,,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Vivienda particulares habitadas sin electricidad,2,3515,0.0,0.0,0.0,0.0,Base,,Zona de transición
Global,lst_classification_twin_map.tif,Vivienda particulares habitadas sin electricidad,3,5486,0.0,0.0,0.0,0.0,Base,,Zona de impacto
Global,lst_classification_twin_map.tif,Vivienda particulares habitadas sin electricidad,4,143,0.0,0.0,0.0,0.0,Base,,Zona núcleo
Global,lst_classification_intervention_map.tif,Vivienda particulares habitadas sin electricidad,1,4449,0.0,0.0,0.0,0.0,Intervención,,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Vivienda particulares habitadas sin electricidad,2,4188,0.0,0.0,0.0,0.0,Intervención,,Zona de transición
Global,lst_classification_intervention_map.tif,Vivienda particulares habitadas sin electricidad,3,4776,0.0,0.0,0.0,0.0,Intervención,,Zona de impacto
Global,lst_classification_intervention_map.tif,Vivienda particulares habitadas sin electricidad,4,36,0.0,0.0,0.0,0.0,Intervención,,Zona núcleo
Global,lst_classification_twin_map.tif,Viviendas con hacinamiento,1,4305,0.0075956676,32.69935,0.0,0.039142463,Base,14.697736740112305,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Viviendas con hacinamiento,2,3515,0.024206584,85.08614,0.0,0.32736948,Base,38.244606018066406,Zona de transición
Global,lst_classification_twin_map.tif,Viviendas con hacinamiento,3,5486,0.019069515,104.61536,0.0,0.32736948,Base,47.02261734008789,Zona de impacto
Global,lst_classification_twin_map.tif,Viviendas con hacinamiento,4,143,0.00054518646,0.07796166,0.0,0.019490415,Base,0.03504228591918945,Zona núcleo
Global,lst_classification_intervention_map.tif,Viviendas con hacinamiento,1,4449,0.008451131,37.599083,0.0,0.04880659,Intervención,16.900074005126953,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Viviendas con hacinamiento,2,4188,0.02253331,94.36951,0.0,0.2389275,Intervención,42.417301177978516,Zona de transición
Global,lst_classification_intervention_map.tif,Viviendas con hacinamiento,3,4776,0.018934727,90.43225,0.0,0.32736948,Intervención,40.6475830078125,Zona de impacto
Global,lst_classification_intervention_map.tif,Viviendas con hacinamiento,4,36,0.0021656016,0.07796166,0.0,0.019490415,Intervención,0.03504228591918945,Zona núcleo
Global,lst_classification_twin_map.tif,Viviendas con piso de tierra,1,4305,0.0011026792,4.747034,0.0,0.013308548,Base,25.1091365814209,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Viviendas con piso de tierra,2,3515,0.0019368441,6.808007,0.0,0.013308548,Base,36.01051712036133,Zona de transición
Global,lst_classification_twin_map.tif,Viviendas con piso de tierra,3,5486,0.0013371806,7.335773,0.0,0.011631939,Base,38.80210494995117,Zona de impacto
Global,lst_classification_twin_map.tif,Viviendas con piso de tierra,4,143,0.00010344328,0.014792389,0.0,0.0036980973,Base,0.07824340462684631,Zona núcleo
Global,lst_classification_intervention_map.tif,Viviendas con piso de tierra,1,4449,0.0011486813,5.110483,0.0,0.013308548,Intervención,27.031574249267578,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Viviendas con piso de tierra,2,4188,0.0017918582,7.5043025,0.0,0.012764892,Intervención,39.69352722167969,Zona de transición
Global,lst_classification_intervention_map.tif,Viviendas con piso de tierra,3,4776,0.0013140764,6.2760286,0.0,0.013308548,Intervención,33.196651458740234,Zona de impacto
Global,lst_classification_intervention_map.tif,Viviendas con piso de tierra,4,36,0.0004108997,0.014792389,0.0,0.0036980973,Intervención,0.07824339717626572,Zona núcleo
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas con todos los servicios,1,4305,0.020647572,88.8878,0.0,0.103189334,Base,13.267753601074219,Fondo Térmico Urbano
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas con todos los servicios,2,3515,0.07163253,251.78833,0.0,0.6172706,Base,37.582950592041016,Zona de transición
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas con todos los servicios,3,5486,0.059560187,326.7472,0.0,0.6172706,Base,48.77161407470703,Zona de impacto
Global,lst_classification_twin_map.tif,Viviendas particulares habitadas con todos los servicios,4,143,0.017694434,2.530304,0.0,0.07316416,Base,0.37768346071243286,Zona núcleo
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas con todos los servicios,1,4449,0.022944024,102.077965,0.0,0.11936458,Intervención,15.236570358276367,Fondo Térmico Urbano
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas con todos los servicios,2,4188,0.07055869,295.4998,0.0,0.45050904,Intervención,44.10749816894531,Zona de transición
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas con todos los servicios,3,4776,0.05698023,272.13757,0.0,0.6172706,Intervención,40.620357513427734,Zona de impacto
Global,lst_classification_intervention_map.tif,Viviendas particulares habitadas con todos los servicios,4,36,0.0066204215,0.23833518,0.0,0.059583794,Intervención,0.03557487577199936,Zona núcleo
